offer_id,has_refrigerator,has_dishwasher,has_washing_machine,has_air_conditioner,has_tv,has_internet,has_kitchen_furniture,has_room_furniture,has_bathtub,has_shower_cabin
316085766,True,False,True,True,True,True,True,True,False,True
316063232,False,False,True,False,True,True,True,True,True,False
316061559,True,False,True,False,False,False,True,True,True,False
316027445,False,False,False,False,False,False,True,True,False,False
316020511,True,False,True,False,True,True,True,True,True,False
316016115,True,False,True,False,True,True,True,True,False,True
316006051,True,True,True,True,True,True,True,True,True,False
316003714,True,False,True,True,True,True,True,True,True,False
315988478,True,False,True,False,True,True,True,True,False,False
315986368,True,False,True,True,True,True,True,True,True,False
315985003,True,False,True,True,False,True,True,True,False,True
315982292,True,False,True,True,True,True,True,True,True,False
315977648,True,False,True,False,True,True,True,True,True,False
315962374,True,True,True,True,True,True,True,True,True,False
315957488,True,False,True,True,True,True,True,True,True,False
315940995,True,False,True,False,True,False,True,True,True,False
315938837,True,True,True,True,True,True,True,True,True,False
315934380,True,True,True,True,True,False,True,True,True,False
315933413,True,False,True,False,True,True,True,True,True,False
315916928,True,False,True,True,True,True,True,True,False,True
315915558,True,False,True,False,True,True,True,True,False,True
315911384,True,True,True,True,True,True,True,True,True,False
315909802,False,False,True,False,False,True,False,True,False,False
315907723,False,False,True,True,False,True,False,True,False,True
315905314,False,False,False,False,False,False,False,True,False,False
315904699,False,False,True,False,False,True,False,True,False,True
315904568,True,False,True,True,False,True,True,True,False,True
315900371,True,False,True,True,True,True,True,True,True,False
315898658,True,False,True,True,True,True,True,True,False,True
315859046,True,True,True,True,True,True,True,True,False,True
315855718,True,False,True,False,True,True,True,True,True,False
315729152,True,False,True,True,True,True,True,True,True,False
315720394,True,False,True,False,True,False,True,True,True,False
315718474,True,False,True,True,True,False,False,True,True,False
315713851,True,True,True,True,True,True,False,True,False,False
315711187,True,True,True,True,False,True,True,True,True,False
315698560,True,True,True,False,True,True,False,True,False,False
315648902,True,False,True,True,True,False,True,True,True,False
315643332,True,False,True,False,True,True,True,True,True,False
315629964,True,False,True,True,True,True,True,True,False,True
315614690,True,True,True,False,True,True,True,True,False,False
315585856,False,True,True,True,True,True,True,True,False,True
315581814,True,False,True,True,False,True,True,True,True,False
315564173,False,False,True,False,False,True,True,True,True,False
315445673,True,False,True,False,False,True,True,True,True,False
315443864,True,False,True,False,True,True,True,True,True,False
315392787,True,True,True,True,True,True,True,True,True,False
315351421,True,True,True,True,False,True,True,True,True,False
315314773,True,False,True,False,False,True,True,True,True,False
315268246,True,False,True,False,True,True,True,True,True,False
315248123,True,True,True,False,True,True,True,True,False,True
315118882,True,True,True,True,True,True,True,True,True,True
315111390,True,False,True,True,True,True,True,True,True,False
315083863,False,True,True,False,True,True,True,True,True,False
315078260,True,False,True,True,True,True,True,True,False,False
314996951,True,False,True,True,True,True,True,True,False,True
314946091,True,True,True,True,False,True,True,True,False,True
314945210,True,False,True,False,True,True,True,True,False,True
314939405,False,True,True,False,True,False,True,True,False,True
314911723,True,False,True,False,False,True,False,False,True,False
314909530,True,False,True,False,False,True,True,True,True,False
314897737,False,False,True,False,False,True,False,True,True,False
314886750,True,True,True,False,True,True,True,True,True,False
314767178,True,False,True,False,True,True,True,True,False,True
314676517,True,True,True,True,True,True,True,True,False,True
314492366,True,False,True,False,True,True,True,True,True,False
314329494,True,True,True,True,True,True,True,True,True,False
314327404,True,False,True,False,False,True,True,True,True,False
314317233,True,False,False,True,True,True,False,True,False,True
314237628,True,False,True,True,True,True,True,True,True,False
314094610,True,False,True,False,False,False,False,True,False,False
314011077,True,False,True,True,True,True,True,True,True,False
313729695,True,True,True,True,False,True,True,True,False,True
313689777,True,False,True,True,True,True,True,True,True,False
313492003,True,False,True,False,False,False,True,True,True,False
313445775,True,True,True,True,True,False,True,True,True,False
313423014,True,False,True,False,True,True,True,True,True,False
312685160,True,True,True,True,True,True,True,True,False,True
312673761,True,False,True,False,True,True,True,True,True,False
312246667,True,False,True,True,True,False,True,True,True,False
312195522,True,False,True,True,True,True,True,True,True,False
310792342,True,False,True,True,False,True,True,True,True,False
310660324,True,False,True,True,True,True,True,True,False,True
309980505,True,False,True,False,True,True,True,True,True,False
308782939,True,False,True,True,True,True,True,False,True,False
305603631,True,False,True,False,True,True,True,True,True,False
300772703,True,True,True,True,True,True,True,True,True,False
298970024,True,False,True,True,True,True,True,True,True,False
295252797,True,False,True,True,True,True,True,True,False,True
294961642,True,False,True,True,True,True,True,True,False,True
294401225,True,False,True,True,True,True,True,True,False,True
288005740,True,False,True,False,True,True,True,True,True,False
287535562,True,True,True,True,False,True,True,True,False,True
284081870,True,False,True,False,False,False,True,True,True,False
273115276,True,False,True,False,False,True,True,True,True,False
272600208,True,False,True,False,False,True,True,True,False,True
272591317,True,True,True,True,True,True,True,True,False,True
265122740,True,False,True,False,False,True,True,True,True,False
262726424,True,False,True,True,False,True,True,True,True,False
252768481,True,True,True,True,True,True,True,True,True,False
199570370,True,False,True,False,True,True,True,True,True,False
166163447,True,False,True,True,True,True,True,True,True,False
164777045,True,False,True,False,True,True,True,True,True,False
164708200,True,False,True,False,False,False,True,True,False,False
162193182,True,False,True,True,True,True,True,True,True,False
161928651,True,True,True,False,False,True,True,True,True,False
315928663,True,True,True,True,True,True,True,True,True,False
314717237,True,False,True,True,True,True,True,True,False,True
315523211,True,False,True,True,True,True,True,True,True,False
315227868,True,False,True,True,True,True,True,True,True,False
287756063,True,False,True,False,False,True,True,True,True,False
198394022,True,False,True,True,True,True,True,True,True,False
314690850,True,False,True,False,False,True,True,True,False,True
315468710,True,False,True,False,True,True,True,True,True,False
315905263,True,False,True,False,False,True,True,True,True,False
315688974,True,False,True,True,True,True,True,True,False,True
182246958,True,False,True,False,True,True,True,True,True,False
316063232,False,False,True,False,True,True,True,True,True,False
316061559,True,False,True,False,False,False,True,True,True,False
316060615,False,False,True,False,False,True,False,True,False,True
316039075,False,False,False,False,False,False,False,False,True,False
316031652,True,False,True,False,True,True,True,True,False,False
316027445,False,False,False,False,False,False,True,True,False,False
316020511,True,False,True,False,True,True,True,True,True,False
316016115,True,False,True,False,True,True,True,True,False,True
316015200,True,False,True,True,False,True,True,True,True,False
316006051,True,True,True,True,True,True,True,True,True,False
316003714,True,False,True,True,True,True,True,True,True,False
315998815,True,True,True,True,True,True,True,True,True,False
315988478,True,False,True,False,True,True,True,True,False,False
315986368,True,False,True,True,True,True,True,True,True,False
315985003,True,False,True,True,False,True,True,True,False,True
315982292,True,False,True,True,True,True,True,True,True,False
315977648,True,False,True,False,True,True,True,True,True,False
315963981,True,False,True,False,False,False,True,True,True,False
315962374,True,True,True,True,True,True,True,True,True,False
315960228,True,True,True,True,True,True,True,True,False,True
315957488,True,False,True,True,True,True,True,True,True,False
315940995,True,False,True,False,True,False,True,True,True,False
315938837,True,True,True,True,True,True,True,True,True,False
315934380,True,True,True,True,True,False,True,True,True,False
315933413,True,False,True,False,True,True,True,True,True,False
315916928,True,False,True,True,True,True,True,True,False,True
315915558,True,False,True,False,True,True,True,True,False,True
315911384,True,True,True,True,True,True,True,True,True,False
315910730,True,False,True,False,True,True,True,True,True,False
315909802,False,False,True,False,False,True,False,True,False,False
315907723,False,False,True,True,False,True,False,True,False,True
315905314,False,False,False,False,False,False,False,True,False,False
315904699,False,False,True,False,False,True,False,True,False,True
315904568,True,False,True,True,False,True,True,True,False,True
315900473,True,False,True,True,True,True,True,True,False,True
315900371,True,False,True,True,True,True,True,True,True,False
315898658,True,False,True,True,True,True,True,True,False,True
315897929,True,True,True,True,True,True,True,True,True,False
315890062,True,False,True,False,True,True,True,True,False,True
315859046,True,True,True,True,True,True,True,True,False,True
315855718,True,False,True,False,True,True,True,True,True,False
315827935,True,False,True,True,True,True,True,True,True,False
315778278,True,True,True,True,True,True,True,True,True,False
315778004,True,False,True,True,True,True,True,True,True,False
315754970,True,False,True,False,True,True,True,True,False,True
315751488,True,False,True,False,False,True,False,False,True,False
315730547,False,False,False,True,False,True,True,True,True,False
315729152,True,False,True,True,True,True,True,True,True,False
315720394,True,False,True,False,True,False,True,True,True,False
315718474,True,False,True,True,True,False,False,True,True,False
315713851,True,True,True,True,True,True,False,True,False,False
315711187,True,True,True,True,False,True,True,True,True,False
315698560,True,True,True,False,True,True,False,True,False,False
315690340,True,False,True,True,True,True,True,True,False,True
315651956,True,True,True,True,True,True,True,True,False,True
315648902,True,False,True,True,True,False,True,True,True,False
315643332,True,False,True,False,True,True,True,True,True,False
315629964,True,False,True,True,True,True,True,True,False,True
315628189,True,False,True,True,True,False,False,False,False,True
315614690,True,True,True,False,True,True,True,True,False,False
315612161,True,False,True,False,False,True,False,False,True,False
315587764,True,False,True,False,True,True,True,True,False,True
315585856,False,True,True,True,True,True,True,True,False,True
315581814,True,False,True,True,False,True,True,True,True,False
315564173,False,False,True,False,False,True,True,True,True,False
315560950,True,True,True,True,True,True,True,True,False,True
315522128,True,True,True,False,True,True,True,True,False,False
315451411,True,True,True,True,True,True,True,True,True,False
315445673,True,False,True,False,False,True,True,True,True,False
315443864,True,False,True,False,True,True,True,True,True,False
315429278,True,True,True,True,False,True,True,True,True,False
315392787,True,True,True,True,True,True,True,True,True,False
315351421,True,True,True,True,False,True,True,True,True,False
315314773,True,False,True,False,False,True,True,True,True,False
315304762,True,False,True,False,True,True,True,True,True,False
315268246,True,False,True,False,True,True,True,True,True,False
315248123,True,True,True,False,True,True,True,True,False,True
315247918,True,False,True,False,True,False,True,True,True,False
315118882,True,True,True,True,True,True,True,True,True,True
315111390,True,False,True,True,True,True,True,True,True,False
315083863,False,True,True,False,True,True,True,True,True,False
315078260,True,False,True,True,True,True,True,True,False,False
315056181,True,False,True,True,False,False,True,True,False,True
315036193,True,False,True,False,False,True,True,True,True,False
315006192,False,False,True,True,False,True,False,True,True,False
315002966,True,False,True,False,True,True,False,False,True,False
314996951,True,False,True,True,True,True,True,True,False,True
314972514,False,False,True,True,False,True,False,True,True,False
314946091,True,True,True,True,False,True,True,True,False,True
314945210,True,False,True,False,True,True,True,True,False,True
314941425,False,False,True,False,False,True,False,True,True,False
314939405,False,True,True,False,True,False,True,True,False,True
314911723,True,False,True,False,False,True,False,False,True,False
314909530,True,False,True,False,False,True,True,True,True,False
314900735,True,True,True,True,True,True,True,True,False,False
314897737,False,False,True,False,False,True,False,True,True,False
314886750,True,True,True,False,True,True,True,True,True,False
314849209,True,False,True,True,True,True,True,True,True,False
314773176,True,False,True,False,False,False,True,True,True,False
314767178,True,False,True,False,True,True,True,True,False,True
314676517,True,True,True,True,True,True,True,True,False,True
314525238,True,True,True,False,True,True,True,True,False,True
314525237,True,True,True,False,True,True,True,True,False,True
314492366,True,False,True,False,True,True,True,True,True,False
314478894,True,True,True,True,True,True,True,True,True,False
314391529,True,False,True,True,False,True,True,True,False,False
314330220,True,False,True,False,False,True,True,True,True,False
314329494,True,True,True,True,True,True,True,True,True,False
314327404,True,False,True,False,False,True,True,True,True,False
314317233,True,False,False,True,True,True,False,True,False,True
314199354,True,True,True,False,True,True,True,True,False,True
314152463,True,False,True,False,True,True,True,True,True,False
314094610,True,False,True,False,False,False,False,True,False,False
314088314,True,False,True,True,True,True,True,True,True,False
314064240,True,False,True,True,True,True,True,True,True,False
314011077,True,False,True,True,True,True,True,True,True,False
313918082,True,True,True,False,True,True,True,True,True,False
313864937,True,True,True,True,True,True,True,True,True,False
313729695,True,True,True,True,False,True,True,True,False,True
313689777,True,False,True,True,True,True,True,True,True,False
313492003,True,False,True,False,False,False,True,True,True,False
313445775,True,True,True,True,True,False,True,True,True,False
313423014,True,False,True,False,True,True,True,True,True,False
313038215,True,False,True,True,True,True,True,True,True,False
312685160,True,True,True,True,True,True,True,True,False,True
312677059,True,False,False,False,False,True,True,True,True,False
312673761,True,False,True,False,True,True,True,True,True,False
312246667,True,False,True,True,True,False,True,True,True,False
312195522,True,False,True,True,True,True,True,True,True,False
311665244,True,True,True,True,True,True,True,True,True,False
311659644,True,True,True,True,True,True,True,True,True,False
310792342,True,False,True,True,False,True,True,True,True,False
310783742,True,False,True,True,True,True,True,True,True,False
310778746,True,False,True,True,True,True,True,True,False,False
310660324,True,False,True,True,True,True,True,True,False,True
310193855,True,True,True,True,True,True,True,True,False,False
309980505,True,False,True,False,True,True,True,True,True,False
308782939,True,False,True,True,True,True,True,False,True,False
308110692,True,False,True,True,False,True,True,False,True,False
305603631,True,False,True,False,True,True,True,True,True,False
303814497,True,False,True,False,False,True,True,True,True,False
303112257,True,False,True,True,True,True,True,True,False,True
300772703,True,True,True,True,True,True,True,True,True,False
298970024,True,False,True,True,True,True,True,True,True,False
295252797,True,False,True,True,True,True,True,True,False,True
294961642,True,False,True,True,True,True,True,True,False,True
294401225,True,False,True,True,True,True,True,True,False,True
289350318,True,True,True,True,True,True,True,True,False,True
288005740,True,False,True,False,True,True,True,True,True,False
287535562,True,True,True,True,False,True,True,True,False,True
284081870,True,False,True,False,False,False,True,True,True,False
279286265,True,False,True,False,False,True,True,True,True,False
274598446,True,False,True,False,True,True,True,True,True,False
273448248,True,True,True,True,False,True,True,True,False,True
273115276,True,False,True,False,False,True,True,True,True,False
272600208,True,False,True,False,False,True,True,True,False,True
272591317,True,True,True,True,True,True,True,True,False,True
271159992,True,False,True,False,False,False,True,True,True,False
265122740,True,False,True,False,False,True,True,True,True,False
262726424,True,False,True,True,False,True,True,True,True,False
241302321,True,False,True,False,True,False,True,True,True,False
232917973,True,True,True,False,False,True,True,True,True,False
222723163,True,False,True,False,True,False,True,True,True,False
205467120,True,False,True,True,True,True,True,True,True,False
199570370,True,False,True,False,True,True,True,True,True,False
192845340,True,False,True,False,True,True,True,True,True,False
184978796,True,False,True,True,True,True,True,True,True,False
166163447,True,False,True,True,True,True,True,True,True,False
164777045,True,False,True,False,True,True,True,True,True,False
164708200,True,False,True,False,False,False,True,True,False,False
162193182,True,False,True,True,True,True,True,True,True,False
161928651,True,True,True,False,False,True,True,True,True,False
153942662,True,False,True,True,True,True,True,True,False,False
315532779,True,False,True,True,False,True,True,True,False,True
315928663,True,True,True,True,True,True,True,True,True,False
315634735,True,False,True,True,True,True,True,True,True,False
314717237,True,False,True,True,True,True,True,True,False,True
313708987,True,False,True,False,True,True,True,True,True,False
314019589,True,False,True,True,False,False,True,True,True,False
315523211,True,False,True,True,True,True,True,True,True,False
315227868,True,False,True,True,True,True,True,True,True,False
261664001,True,False,True,False,False,True,True,True,False,True
287756063,True,False,True,False,False,True,True,True,True,False
201291279,True,True,True,False,True,True,True,True,False,True
312592732,True,False,True,False,False,False,True,True,True,False
198394022,True,False,True,True,True,True,True,True,True,False
315375920,True,False,True,False,False,True,True,True,True,False
314690850,True,False,True,False,False,True,True,True,False,True
315468710,True,False,True,False,True,True,True,True,True,False
315566038,True,False,True,False,True,False,True,True,False,True
315688974,True,False,True,True,True,True,True,True,False,True
182246958,True,False,True,False,True,True,True,True,True,False
316085766,True,False,True,True,True,True,True,True,False,True
316077720,True,False,True,False,False,True,True,True,False,True
316063232,False,False,True,False,True,True,True,True,True,False
316063035,True,False,True,False,True,False,True,True,True,False
316061559,True,False,True,False,False,False,True,True,True,False
316060615,False,False,True,False,False,True,False,True,False,True
316047855,True,False,True,True,True,False,True,True,True,False
316039075,False,False,False,False,False,False,False,False,True,False
316031652,True,False,True,False,True,True,True,True,False,False
316029933,True,False,True,False,False,True,True,True,True,False
316029241,True,True,True,True,True,True,True,True,True,False
316029136,True,True,True,True,True,True,True,True,False,False
316027445,False,False,False,False,False,False,True,True,False,False
316020511,True,False,True,False,True,True,True,True,True,False
316018561,True,False,True,True,True,True,True,True,True,False
316016115,True,False,True,False,True,True,True,True,False,True
316015907,True,False,True,False,True,True,True,True,True,False
316015200,True,False,True,True,False,True,True,True,True,False
316009307,False,False,False,False,False,False,False,True,False,False
316006051,True,True,True,True,True,True,True,True,True,False
316003714,True,False,True,True,True,True,True,True,True,False
315998815,True,True,True,True,True,True,True,True,True,False
315988478,True,False,True,False,True,True,True,True,False,False
315986368,True,False,True,True,True,True,True,True,True,False
315985003,True,False,True,True,False,True,True,True,False,True
315984105,True,False,True,True,True,True,True,True,True,True
315982292,True,False,True,True,True,True,True,True,True,False
315979992,True,True,True,True,True,True,True,True,True,False
315977648,True,False,True,False,True,True,True,True,True,False
315963981,True,False,True,False,False,False,True,True,True,False
315960228,True,True,True,True,True,True,True,True,False,True
315940995,True,False,True,False,True,False,True,True,True,False
315938837,True,True,True,True,True,True,True,True,True,False
315937890,True,False,True,True,True,True,True,True,True,False
315934380,True,True,True,True,True,False,True,True,True,False
315933413,True,False,True,False,True,True,True,True,True,False
315930241,False,False,True,False,False,True,True,True,True,False
315916928,True,False,True,True,True,True,True,True,False,True
315915558,True,False,True,False,True,True,True,True,False,True
315913661,True,True,True,True,True,True,True,True,True,False
315911384,True,True,True,True,True,True,True,True,True,False
315910730,True,False,True,False,True,True,True,True,True,False
315910228,True,False,True,False,True,True,True,True,False,True
315907723,False,False,True,True,False,True,False,True,False,True
315905856,True,False,True,False,True,True,True,True,False,True
315905314,False,False,False,False,False,False,False,True,False,False
315904837,True,False,True,False,True,True,True,True,True,False
315904699,False,False,True,False,False,True,False,True,False,True
315904568,True,False,True,True,False,True,True,True,False,True
315900473,True,False,True,True,True,True,True,True,False,True
315900371,True,False,True,True,True,True,True,True,True,False
315898658,True,False,True,True,True,True,True,True,False,True
315897929,True,True,True,True,True,True,True,True,True,False
315890062,True,False,True,False,True,True,True,True,False,True
315881468,True,False,True,True,True,True,True,True,True,False
315880197,True,False,True,False,False,True,False,False,True,False
315867597,False,False,False,False,False,False,False,True,False,False
315858476,True,True,True,False,False,False,True,True,True,False
315855902,True,True,True,True,True,False,True,True,False,False
315855718,True,False,True,False,True,True,True,True,True,False
315855629,True,True,True,True,False,True,True,True,True,False
315850008,True,False,True,True,True,True,True,True,True,False
315833677,True,False,True,True,True,True,True,True,False,True
315827935,True,False,True,True,True,True,True,True,True,False
